agency,description,name,price
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
Richmond American Homes,"Maricopa, AZ 85138","22334 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,22360 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48,53862 W Barrel Road,Hidden Valley Estates Unit 16,49749 W Pampas Grass Road,S13 T6s R2e,43304 W Little Drive,Parcel 7 Rancho El Dorado,40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41,10502 N Candido Road,S19 T5s R2e,42515 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado,42508 W Blue Suede Shoes Lane,Province,40584 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48,21676 N Backus Drive,Rancho El Dorado Phase Ii,42275 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$764,995"
